configuration_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,labels
8,1.9512640568728934,2.0406137497659316,2.8472241241154186,3.67433227672905,4.322776940244163,O-Zr,O-Zr,O-Ce,C-O,O-O,1.8166221328303391,2.0940785212965385,2.2162970229100623,2.0346313841045633,0.8635993901816089,Zr-O-O,Zr-O-O,Ce-O-C,O-C-O,O-O-C,5.032818969648988,5.122168662542026,4.026586484602193,4.839036774952641,5.4874814384677535,2
15,1.952013872143374,2.0396525512890076,2.832628546501367,2.8912099196001826,3.234086670142211,O-Zr,O-Zr,C-O,O-Ce,O-O,1.8240125475851672,2.0884121144251457,1.7351280823426647,1.9753167733758215,1.0432936311223324,Zr-O-O,Zr-O-O,O-C-O,Ce-O-C,O-O-C,5.031258361346478,5.1188970404921115,3.997195077475888,4.072594735852034,4.398653201116732,1
2,1.9490916635266335,2.0391080877034202,2.9669576433957756,3.13651487421974,3.2840135104176573,O-Zr,O-Zr,C-O,O-O,O-O,1.815221048777836,2.0914999479875176,1.658568027467588,1.2369402237029583,1.1197166274416899,Zr-O-O,Zr-O-O,O-C-O,O-O-C,O-O-C,5.026485940916282,5.116502365093069,4.138501578831323,4.310894825833034,4.455557445853205,0
14,1.9513663538195687,2.0394318150943156,2.7861842622907864,2.8756967189832596,3.180384416152368,O-Zr,O-Zr,C-O,O-Ce,O-O,1.8150842743777158,2.0945274476388684,1.7246035353679618,1.9084519338690777,1.046568773676968,Zr-O-O,Zr-O-O,O-C-O,Ce-O-C,O-O-C,5.034833185360407,5.122898646635154,3.9512603909952766,4.057464451330295,4.345460544856858,1
9,1.9520956587967166,2.040076681176903,2.8974426679417564,3.0302347461389525,3.254766250474823,O-Zr,O-Zr,C-O,O-O,O-O,1.8298873684061534,2.084138342980365,1.693667059737914,1.2613858786379624,1.0832903159000407,Zr-O-O,Zr-O-O,O-C-O,O-O-C,O-O-C,5.025427524144526,5.113408546524712,4.066937178379694,4.206354354650269,4.424260760912761,1
13,1.9543700567690527,2.041338673587155,2.576176985856087,2.5779758185117956,3.0170072368394223,O-Zr,O-Zr,C-O,O-Zr,O-O,1.8238618606564863,2.0833379902157434,1.7573692729750379,1.971669355229375,0.99556475494653,Zr-O-O,Zr-O-O,O-C-O,Zr-O-C,O-O-C,5.031843790655383,5.118812407473485,3.7396554653380196,3.7637007743940636,4.180485716321355,1
4,1.9511893967001355,2.0360758808641974,2.620030360374921,2.663941024498002,3.042965106264327,O-Zr,O-Zr,C-O,O-Zr,O-O,1.810411125810776,2.1001262972830173,1.741165925139261,2.0086266671270385,1.0132325855820523,Zr-O-O,Zr-O-O,O-C-O,Zr-O-C,O-O-C,5.013185739129215,5.0980722232932765,3.7859082906230292,3.8457174323116745,4.208843036512436,0
5,1.950583967857254,2.0411548738009078,2.9407289529843754,2.950801777370467,3.2179433180340156,O-Zr,O-Zr,C-O,O-Ce,O-O,1.8206020103874605,2.0963893296368172,1.6196666094360967,1.9961699536195923,1.149996463435382,Zr-O-O,Zr-O-O,O-C-O,Ce-O-C,O-O-C,5.033380790848649,5.123951696792303,4.11157171518105,4.125323545485987,4.38878608023069,0
3,1.9512535681415422,2.0422462005863786,3.028096054757642,3.0622302562883505,3.1163833886893797,O-Zr,O-Zr,O-O,C-O,O-O,1.8172117692894865,2.09732571300301,1.4054388053033995,1.835747989446307,1.425349057637483,Zr-O-O,Zr-O-O,O-O-C,O-C-O,O-O-C,5.042262662325909,5.133255294770745,4.2020582062047005,4.233356320901442,4.287509453302471,0
7,1.9511891459124198,2.04092405684939,2.737583030752818,3.8850718978820136,5.034861044914965,O-Zr,O-Zr,O-Ce,C-Ce,O-Ce,1.8205584974835993,2.0868072913841083,2.872148827261448,2.9591169083701154,0.14048611281320095,Zr-O-O,Zr-O-O,Ce-O-C,Ce-C-O,Ce-O-C,5.027051476138792,5.116786387075762,3.91488943433922,5.049759937181504,6.199549084214455,2
10,1.9506632662282537,2.052714910922768,3.4897767685856755,3.9473033702462876,4.696951863496341,O-Zr,O-Zr,O-Zr,C-Zr,O-Zr,1.8041464371419726,1.8698374475889037,1.820090177607051,2.1561691257676574,0.7760641449010116,Zr-O-O,Zr-O-C,Zr-O-C,Zr-C-O,Zr-O-C,5.016986693532154,4.8733634716894905,4.664456213071622,5.118480150167248,5.868128643417302,2
1,1.9505243426802816,2.040517987365209,2.8583058382579383,3.1308591576295144,3.59117082336305,O-Zr,O-Zr,O-Ce,C-O,O-O,1.8192051568453294,2.09097834323701,1.9368561201225503,1.811686188000672,1.0096551372488967,Zr-O-O,Zr-O-O,Ce-O-C,O-C-O,O-O-C,5.0401252666844725,5.1301189113694,4.039046598756725,4.29499119040661,4.755302856140146,0
6,1.9510026574785986,2.040822153729411,2.8793104008939228,2.9836664175598218,3.2653739510490034,O-Zr,O-Zr,C-O,O-O,O-O,1.818429704415517,2.0977271281271372,1.7215937864910196,1.2823578492756906,1.0587910088926396,Zr-O-O,Zr-O-O,O-C-O,O-O-C,O-O-C,5.028250749476443,5.118070245727255,4.046554303957391,4.161764464635198,4.432617854112472,0
12,1.9513229966082692,2.040661270031255,2.690462664556074,2.8730270058328156,3.0617545863788354,O-Zr,O-Zr,C-O,O-Ce,O-O,1.817004581935609,2.093441583656444,1.69572745664873,1.9756886627509704,1.0590357583136882,Zr-O-O,Zr-O-O,O-C-O,Ce-O-C,O-O-C,5.026968578584057,5.1163068520070425,3.8545948695068226,4.056548666100808,4.225886791329584,1
11,1.9510580234007078,2.040811353585062,2.793130317883289,2.959860513046397,3.1415498237007524,O-Zr,O-Zr,C-O,O-O,O-O,1.8203479795550865,2.087025023916561,1.6779918442772042,1.2276603959870245,1.0843286935409955,Zr-O-O,Zr-O-O,O-C-O,O-O-C,O-O-C,5.036840381683149,5.126593711867503,3.96298648569085,4.135854016161105,4.311405991508313,1
